Index,Date,Holiday
1,02/01/2012,New Year Day
2,16/01/2012,Martin Luther King Jr. Day
3,20/02/2012,Presidents Day (Washingtons Birthday)
4,28/05/2012,Memorial Day
5,04/07/2012,Independence Day
6,03/09/2012,Labor Day
7,08/10/2012,Columbus Day
8,12/11/2012,Veterans Day
9,22/11/2012,Thanksgiving Day
10,25/12/2012,Christmas Day
11,01/01/2013,New Year Day
12,21/01/2013,Martin Luther King Jr. Day
13,18/02/2013,Presidents Day (Washingtons Birthday)
14,27/05/2013,Memorial Day
15,04/07/2013,Independence Day
16,02/09/2013,Labor Day
17,14/10/2013,Columbus Day
18,11/11/2013,Veterans Day
19,28/11/2013,Thanksgiving Day
20,25/12/2013,Christmas Day
21,01/01/2014,New Year Day
22,20/01/2014,Martin Luther King Jr. Day
23,17/02/2014,Presidents Day (Washingtons Birthday)
24,26/05/2014,Memorial Day
25,04/07/2014,Independence Day
26,01/09/2014,Labor Day
27,13/10/2014,Columbus Day
28,11/11/2014,Veterans Day
29,27/11/2014,Thanksgiving Day
30,25/12/2014,Christmas Day
31,01/01/2015,New Year Day
32,19/01/2015,Martin Luther King Jr. Day
33,16/02/2015,Presidents Day (Washingtons Birthday)
34,25/05/2015,Memorial Day
35,03/07/2015,Independence Day
36,07/09/2015,Labor Day
37,12/10/2015,Columbus Day
38,11/11/2015,Veterans Day
39,26/11/2015,Thanksgiving Day
40,25/12/2015,Christmas Day
41,01/01/2016,New Year Day
42,18/01/2016,Martin Luther King Jr. Day
43,15/02/2016,Presidents Day (Washingtons Birthday)
44,30/05/2016,Memorial Day
45,04/07/2016,Independence Day
46,05/09/2016,Labor Day
47,10/10/2016,Columbus Day
48,11/11/2016,Veterans Day
49,24/11/2016,Thanksgiving Day
50,25/12/2016,Christmas Day
51,02/01/2017,New Year Day
52,16/01/2017,Martin Luther King Jr. Day
53,20/02/2017,Presidents Day (Washingtons Birthday)
54,29/05/2017,Memorial Day
55,04/07/2017,Independence Day
56,04/09/2017,Labor Day
57,09/10/2017,Columbus Day
58,10/11/2017,Veterans Day
59,23/11/2017,Thanksgiving Day
60,25/12/2017,Christmas Day
61,01/01/2018,New Year Day
62,15/01/2018,Martin Luther King Jr. Day
63,19/02/2018,Presidents Day (Washingtons Birthday)
64,28/05/2018,Memorial Day
65,04/07/2018,Independence Day
66,03/09/2018,Labor Day
67,08/10/2018,Columbus Day
68,12/11/2018,Veterans Day
69,22/11/2018,Thanksgiving Day
70,25/12/2018,Christmas Day
71,01/01/2019,New Year Day
72,21/01/2019,Martin Luther King Jr. Day
73,18/02/2019,Presidents Day (Washingtons Birthday)
74,27/05/2019,Memorial Day
75,04/07/2019,Independence Day
76,02/09/2019,Labor Day
77,14/10/2019,Columbus Day
78,11/11/2019,Veterans Day
79,28/11/2019,Thanksgiving Day
80,25/12/2019,Christmas Day
81,01/01/2020,New Year Day
82,20/01/2020,Martin Luther King Jr. Day
83,17/02/2020,Presidents Day (Washingtons Birthday)
84,25/05/2020,Memorial Day
85,03/07/2020,Independence Day
86,07/09/2020,Labor Day
87,12/10/2020,Columbus Day
88,11/11/2020,Veterans Day
89,26/11/2020,Thanksgiving Day
90,25/12/2020,Christmas Day
